id_registro,variable,valor
6300,departamento,TOTONICAPAN
6301,departamento,TOTONICAPAN
6302,departamento,TOTONICAPAN
6303,departamento,TOTONICAPAN
6304,departamento,TOTONICAPAN
6305,departamento,TOTONICAPAN
6306,departamento,TOTONICAPAN
6307,departamento,TOTONICAPAN
6308,departamento,TOTONICAPAN
6309,departamento,TOTONICAPAN
6310,departamento,TOTONICAPAN
6311,departamento,TOTONICAPAN
6312,departamento,TOTONICAPAN
6313,departamento,TOTONICAPAN
6314,departamento,TOTONICAPAN
6315,departamento,TOTONICAPAN
6316,departamento,TOTONICAPAN
6317,departamento,TOTONICAPAN
6318,departamento,TOTONICAPAN
6319,departamento,TOTONICAPAN
6320,departamento,TOTONICAPAN
6321,departamento,TOTONICAPAN
6322,departamento,TOTONICAPAN
6323,departamento,TOTONICAPAN
6324,departamento,TOTONICAPAN
6325,departamento,TOTONICAPAN
6326,departamento,TOTONICAPAN
6327,departamento,TOTONICAPAN
6328,departamento,TOTONICAPAN
6329,departamento,TOTONICAPAN
6330,departamento,TOTONICAPAN
6331,departamento,TOTONICAPAN
6332,departamento,TOTONICAPAN
6333,departamento,TOTONICAPAN
6885,departamento,SUCHITEPEQUEZ
6886,departamento,SUCHITEPEQUEZ
6887,departamento,SUCHITEPEQUEZ
6888,departamento,SUCHITEPEQUEZ
6889,departamento,SUCHITEPEQUEZ
6890,departamento,SUCHITEPEQUEZ
6891,departamento,SUCHITEPEQUEZ
6892,departamento,SUCHITEPEQUEZ
6893,departamento,SUCHITEPEQUEZ
6894,departamento,SUCHITEPEQUEZ
6895,departamento,SUCHITEPEQUEZ
6896,departamento,SUCHITEPEQUEZ
6897,departamento,SUCHITEPEQUEZ
6898,departamento,SUCHITEPEQUEZ
6899,departamento,SUCHITEPEQUEZ
6900,departamento,SUCHITEPEQUEZ
6901,departamento,SUCHITEPEQUEZ
6902,departamento,SUCHITEPEQUEZ
6903,departamento,SUCHITEPEQUEZ
6904,departamento,SUCHITEPEQUEZ
6905,departamento,SUCHITEPEQUEZ
6906,departamento,SUCHITEPEQUEZ
6907,departamento,SUCHITEPEQUEZ
6908,departamento,SUCHITEPEQUEZ
6909,departamento,SUCHITEPEQUEZ
6910,departamento,SUCHITEPEQUEZ
6911,departamento,SUCHITEPEQUEZ
6912,departamento,SUCHITEPEQUEZ
6913,departamento,SUCHITEPEQUEZ
6914,departamento,SUCHITEPEQUEZ
6915,departamento,SUCHITEPEQUEZ
6916,departamento,SUCHITEPEQUEZ
